,time,species_0,species_1,species_2,ground_truth,timeseries_id,noise,n_species,did,seq_depth,n_timeseries,n_timepoints,sampling_scheme
0,0.0,0.04,0.05,0.01,3_sp_gt_3,36656,0.1,3,1116,low,10,5,even
1,7.272727272727273,4.094727640336199,0.0,0.0889759560932511,3_sp_gt_3,36656,0.1,3,1116,low,10,5,even
2,14.84848484848485,1.7870033270650216,0.0,0.6175263707395959,3_sp_gt_3,36656,0.1,3,1116,low,10,5,even
3,22.424242424242426,3.47021508035885,0.0,0.7152774167454645,3_sp_gt_3,36656,0.1,3,1116,low,10,5,even
4,30.0,2.8282279577002445,0.0,0.8062520578666998,3_sp_gt_3,36656,0.1,3,1116,low,10,5,even
5,0.0,0.06,0.09,0.02,3_sp_gt_3,416304,0.1,3,1116,low,10,5,even
6,7.272727272727273,1.868385702024532,1.2695374854288768,0.6067811686622243,3_sp_gt_3,416304,0.1,3,1116,low,10,5,even
7,14.84848484848485,1.620623278648787,0.3184876474703313,0.4438247785184336,3_sp_gt_3,416304,0.1,3,1116,low,10,5,even
8,22.424242424242426,0.6744741534951569,0.9804247854706404,0.9299757441707952,3_sp_gt_3,416304,0.1,3,1116,low,10,5,even
9,30.0,0.75810851495067,1.335709760309607,1.2066862236627984,3_sp_gt_3,416304,0.1,3,1116,low,10,5,even
10,0.0,0.02,0.02,0.02,3_sp_gt_3,2369231,0.1,3,1116,low,10,5,even
11,7.272727272727273,2.806847346153439,0.0,0.1165681485552262,3_sp_gt_3,2369231,0.1,3,1116,low,10,5,even
12,14.84848484848485,2.103478848966295,0.0,1.2157264120728664,3_sp_gt_3,2369231,0.1,3,1116,low,10,5,even
13,22.424242424242426,2.3700830138976987,0.0,0.6403518861912773,3_sp_gt_3,2369231,0.1,3,1116,low,10,5,even
14,30.0,2.100868981165883,0.0,0.910305149829968,3_sp_gt_3,2369231,0.1,3,1116,low,10,5,even
15,0.0,0.04,0.08,0.09,3_sp_gt_3,5140131,0.1,3,1116,low,10,5,even
16,7.272727272727273,1.0437466835701763,1.2830147539898806,1.209348725657329,3_sp_gt_3,5140131,0.1,3,1116,low,10,5,even
17,14.84848484848485,1.117697542201362,0.950299693722516,0.9124659272900462,3_sp_gt_3,5140131,0.1,3,1116,low,10,5,even
18,22.424242424242426,1.143787189603922,1.1345530362280791,0.9932621295810102,3_sp_gt_3,5140131,0.1,3,1116,low,10,5,even
19,30.0,0.6494325010218429,1.3338276991692586,1.2825860392101245,3_sp_gt_3,5140131,0.1,3,1116,low,10,5,even
20,0.0,0.09,0.04,0.07,3_sp_gt_3,8493390,0.1,3,1116,low,10,5,even
